timestamp,endpoint,response_time_ms,status_code,error_rate_percent,requests_per_minute,server_cpu_percent,server_memory_percent,database_query_time_ms,redis_cache_hit_rate_percent,http_status_200,http_status_400,http_status_401,http_status_500
2024-01-15 08:00,/api/auth/register,145,200,0.5,1250,32,48,35,78,980,15,20,5
2024-01-15 08:15,/api/auth/login,132,200,0.3,1420,35,52,28,82,1380,18,12,3
2024-01-15 08:30,/api/payments/wallet,98,200,0.2,1680,28,45,15,91,1650,12,8,2
2024-01-15 08:45,/api/payments/transfer,156,200,1.2,892,45,62,42,75,872,12,5,8
2024-01-15 09:00,/api/transactions,87,200,0.1,2100,25,42,12,93,2095,3,2,1
2024-01-15 09:15,/api/users/profile,102,200,0.4,1540,31,50,22,88,1520,12,5,3
2024-01-15 09:30,/api/auth/register,151,200,0.6,1180,36,55,38,76,1165,10,3,6
2024-01-15 09:45,/api/auth/login,128,200,0.3,1520,33,51,26,85,1505,10,4,2
2024-01-15 10:00,/api/payments/wallet,95,200,0.2,1750,27,43,14,92,1740,5,3,1
2024-01-15 10:15,/api/payments/transfer,162,200,1.5,845,48,65,48,72,825,10,8,10
2024-01-15 10:30,/api/transactions,91,200,0.1,1980,26,44,13,92,1975,4,1,1
2024-01-15 10:45,/api/users/profile,105,200,0.4,1480,32,52,24,87,1465,10,3,2
2024-01-15 11:00,/api/auth/register,148,200,0.5,1200,34,54,36,77,1190,8,2,4
2024-01-15 11:15,/api/auth/login,130,200,0.3,1580,34,50,27,84,1565,12,2,3
2024-01-15 11:30,/api/payments/wallet,96,200,0.2,1720,28,44,15,91,1710,8,2,1
2024-01-15 11:45,/api/payments/transfer,159,200,1.3,875,47,63,45,73,855,12,6,8
2024-01-15 12:00,/api/transactions,89,200,0.1,2050,25,43,12,93,2045,3,2,1
2024-01-15 12:15,/api/users/profile,103,200,0.4,1520,31,49,23,88,1505,12,2,3
2024-01-15 12:30,/api/kyc/verify,198,200,2.1,340,52,70,65,65,330,5,3,8
2024-01-15 12:45,/api/payments/history,112,200,0.3,1250,29,46,18,89,1240,8,2,2
2024-01-15 13:00,/api/auth/register,152,200,0.6,1150,35,56,37,76,1140,8,1,5
2024-01-15 13:15,/api/auth/login,135,200,0.4,1480,35,52,29,83,1465,10,3,2
2024-01-15 13:30,/api/payments/wallet,99,200,0.2,1680,27,42,16,91,1670,8,2,1
2024-01-15 13:45,/api/payments/transfer,165,200,1.4,820,50,66,50,71,800,12,5,10
2024-01-15 14:00,/api/transactions,92,200,0.1,1920,26,45,13,92,1915,3,1,1
2024-01-15 14:15,/api/users/profile,106,200,0.4,1450,32,51,25,87,1435,10,4,2
2024-01-15 14:30,/api/kyc/upload,245,200,3.2,280,58,75,72,62,270,6,2,10
2024-01-15 14:45,/api/health,45,200,0.0,5000,15,35,2,98,5000,0,0,0
2024-01-15 15:00,/api/auth/register,146,200,0.5,1280,33,50,34,79,1270,8,2,4
2024-01-15 15:15,/api/auth/login,129,200,0.3,1620,34,51,27,84,1610,7,2,2
